saar,HPI
4.69,129.7066667
4.92,130.8933333
4.9,130.3366667
4.38,126.9233333
4.8,130.5533333
1.89,130.22
-0.28,125.5533333
-0.2,121.97
-0.09,119.7966667
1.69,120.89
3,118.0433333
3.92,116.8733333
3.24,116.83
2.64,116.5833333
3.61,114.9433333
3.71,115.9566667
3.41,116.6866667
3.42,119.4233333
2.29,121.31
2.12,118.8233333
2.05,120.8966667
2.99,123.01
3.43,121.3266667
3.7,121.8133333
2.88,123.6733333
0.62,123.8766667
4.44,128.55
5.39,130.02
9.29,131.7833333
7.85,134.84
4.14,137.2666667
5.23,138.1666667
9.29,131.7833333
7.85,134.84
4.14,137.2666667
5.23,138.1666667
